Shelter,Animal ID#,Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1,Breed 2
E VALLEY,A1010947,3/13/11,OWNER SUR,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0660887,10/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0754826,10/9/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0783806,1/10/12,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC LH,MIX
E VALLEY,A0768426,12/31/11,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC LH,MIX
E VALLEY,A0778580,4/11/11,ACTF,DEAD,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0778715,10/13/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0780547,3/8/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,RUSSIAN BLUE,MIX
E VALLEY,A0783113,7/31/12,POS OWNER,ALIVE,CAT,SHORTHAIR,ABYSSINIAN,MIX
E VALLEY,A0937199,4/7/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH,
E VALLEY,A0941627,7/1/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1122699,8/26/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1126351,1/11/11,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1131165,4/10/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1131171,12/2/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1131171,12/22/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1135774,11/26/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1137260,5/26/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH,
E VALLEY,A0934971,12/20/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0943147,10/17/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0950574,8/28/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0950081,9/28/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1141587,7/11/12,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1142150,2/13/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1143892,9/22/12,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1148563,11/10/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,ABYSSINIAN,MIX
E VALLEY,A1130288,3/23/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1134569,7/23/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1138378,9/4/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1141174,11/10/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1143788,3/21/11,PERS PROP,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0937445,6/25/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0952302,8/15/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1145522,6/28/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1148437,3/1/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1148437,2/12/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1150740,7/23/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE,MIX
E VALLEY,A1156837,7/17/11,POS OWNER,ALIVE,CAT,SHORTHAIR,SNOWSHOE,MIX
E VALLEY,A1010159,3/18/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1144060,10/13/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1149108,5/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,RUSSIAN BLUE,
E VALLEY,A1017525,8/9/12,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC MH,
E VALLEY,A1020640,10/18/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1021218,2/3/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0962113,11/29/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1023491,11/2/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1024027,8/12/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1024027,7/12/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0695214,12/1/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,ABYSSINIAN
E VALLEY,A0703184,11/9/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0703184,12/21/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0703184,2/6/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A1211374,5/9/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211379,5/9/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211454,5/9/11,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211506,5/10/11,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH,
E VALLEY,A1211507,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211579,5/10/11,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211581,5/10/11,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211586,5/10/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1020634,10/18/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1211364,5/9/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211384,5/9/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0972049,7/2/12,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1157443,2/5/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1159087,8/9/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1159436,4/7/11,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1211537,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211559,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1211560,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211562,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211582,5/10/11,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211639,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH,
E VALLEY,A1211686,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211739,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A0691266,10/7/13,POS OWNER,DEAD,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A1211363,5/9/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212060,5/11/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212161,5/11/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212161,5/25/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212306,5/12/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212307,5/12/11,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1212311,5/12/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212444,5/12/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212537,5/12/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211475,5/9/11,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH,
E VALLEY,A1211561,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211583,5/10/11,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211649,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211685,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211687,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211705,5/10/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211894,5/11/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211980,5/11/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1154729,4/2/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1157482,10/22/13,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1157728,2/23/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0690913,1/27/11,POS OWNER,ALIVE,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1212237,5/11/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212308,5/12/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212310,5/12/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212312,5/12/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212315,5/12/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212520,5/12/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212538,5/12/11,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212875,5/13/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1212876,5/13/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1212878,5/13/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212908,5/13/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212929,5/13/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212966,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212968,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212977,5/14/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH,
E VALLEY,A1212626,5/12/11,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1212817,5/13/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212847,5/13/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212874,5/13/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1212907,5/13/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212934,5/13/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212967,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213028,5/14/11,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1213085,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,SNOWSHOE,
E VALLEY,A1213088,5/14/11,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH,
E VALLEY,A1213091,5/14/11,STRAY,ALIVE,CAT,LONGHAIR,MAINE COON,
E VALLEY,A1213158,5/14/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213162,5/14/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213181,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213199,5/15/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213201,5/15/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213228,5/15/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213238,5/15/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213275,5/15/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213278,5/15/11,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE,
E VALLEY,A1213087,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213090,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213153,5/14/11,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1213163,5/14/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213165,5/14/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213179,5/14/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213193,5/14/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213198,5/15/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213242,5/15/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213276,9/6/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213276,5/15/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213277,5/15/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213377,5/15/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213539,5/16/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213540,5/16/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213541,5/16/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213573,5/16/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,DOMESTIC SH
E VALLEY,A1213632,5/16/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213634,5/16/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213673,5/16/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213696,5/16/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213700,5/16/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213730,5/16/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213762,5/17/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213764,5/17/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213797,5/17/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213851,5/17/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211372,5/9/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211476,5/9/11,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH,
E VALLEY,A1211505,5/9/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211650,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211684,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213883,5/17/11,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH,
E VALLEY,A1213912,5/17/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH,
E VALLEY,A1213953,5/17/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1214100,5/18/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH,
E VALLEY,A1214102,5/18/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH,
E VALLEY,A1214168,5/18/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH,
E VALLEY,A1214274,5/18/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1214336,5/18/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1214343,5/18/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1014018,6/26/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1017860,7/9/11,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1211682,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211683,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211699,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1211761,5/10/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212016,7/13/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212016,5/11/11,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1212155,5/11/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A1213546,5/16/11,STRAY,LITTER,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1213548,5/16/11,STRAY,LITTER,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1213549,5/16/11,STRAY,LITTER,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A1213631,5/16/11,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
